Depth (m);Temperature (deg_C);Conductivity (S/m);Salinity (PSU)
1;14.0039721824149;46.1157830830473;38.8180532941059
2;14.0036906874398;46.1155855805001;38.8180314417517
3;14.0034040242566;46.1153837806362;38.8180087876004
4;14.0031115045149;46.1151770655515;38.817985305694
5;14.002812439969;46.1149648217841;38.8179609723
6;14.0025062027797;46.1147464023923;38.8179356765647
7;14.0021922122842;46.1145211781202;38.8179092931209
8;14.0018699446399;46.1142886700476;38.8178817786912
9;14.0015389316956;46.1140483645934;38.8178530179813
10;14.0011993344636;46.1138003030705;38.8178229975175
11;14.0008512687412;46.1135445431053;38.8177917579504
12;14.0004949187612;46.113281260065;38.8177593823535
13;14.000130575235;46.1130107323971;38.8177259491849
14;13.999758582013;46.1127333192204;38.8176915530684
15;13.9993793741328;46.1124494700155;38.8176562809895
16;13.998993453066;46.1121597298052;38.8176202352138
17;13.9986013749757;46.11186479184;38.8175835900234
18;13.9982037944575;46.1115654479562;38.817546514285
19;13.9978013756317;46.1112624852954;38.8175091538407
20;13.9973947773585;46.1109566227778;38.8174715904164
21;13.9969845975435;46.1106485818931;38.8174339646772
22;13.9965713907335;46.1103390727093;38.8173964518397
23;13.9961556912565;46.1100286955046;38.8173591468373
24;13.9957379874402;46.1097180756258;38.8173222041504
25;13.9953187810405;46.1094077864102;38.8172857131024
26;13.994898564481;46.1090983478509;38.8172497214648
27;13.9944777171685;46.1087901189565;38.817214234616
28;13.9940564958898;46.1084833316871;38.8171792512481
29;13.9936351277218;46.1081781575907;38.8171447393424
30;13.993213792817;46.1078747237865;38.8171106725159
31;13.9927926270103;46.1075731154332;38.8170770297079
32;13.9923716678212;46.1072732754292;38.8170437630801
33;13.9919508537077;46.1069750486807;38.8170108238293
34;13.9915300745713;46.1066781361666;38.8169780748928
35;13.9911091803;46.1063822486104;38.816945429739
36;13.9906879917197;46.1060870558416;38.8169127936856
37;13.9902663137792;46.1057921976794;38.8168800497349
38;13.9898439450319;46.1054972999182;38.816847071275
39;13.9894206779619;46.10520198076;38.8168137311453
40;13.9889962766557;46.1049058596856;38.8167799327877
41;13.9885705137024;46.1046085947396;38.8167456115177
42;13.9881431919602;46.1043098806206;38.8167107052125
43;13.9877141430725;46.104009446885;38.8166751541856
44;13.9872831608018;46.1037069918922;38.8166389046943
45;13.9868500243978;46.1034021977717;38.8166018951873
46;13.9864144859501;46.1030947445343;38.8165640860215
47;13.9859763438994;46.1027843612618;38.8165254337645
48;13.9855354775214;46.102470842139;38.8164858782825
49;13.9850918094678;46.1021541160615;38.8164454420716
50;13.9846452986365;46.1018341145342;38.8164041108245
51;13.9841959308847;46.1015108148426;38.8163618885794
52;13.9837437354794;46.101184237991;38.8163187792292
53;13.9832887831593;46.1008544467504;38.8162747865275
54;13.9828311495957;46.1005215264586;38.8162299289684
55;13.982370910262;46.1001855619163;38.8161842243971
56;13.9819081574922;46.0998465984379;38.8161376315799
57;13.9814429659481;46.0995046918494;38.8160901396821
58;13.9809753933741;46.0991599080387;38.8160417669687
59;13.9805055192955;46.0988123272769;38.8159925310857
60;13.9800334535189;46.0984620671532;38.8159424561475
61;13.9795593442073;46.0981092903564;38.8158915607963
62;13.9787265557765;46.0974799193435;38.8158059176784
63;13.9778869914389;46.0968449090765;38.8157189838435
64;13.9770407693995;46.0962044263961;38.8156308131461
65;13.9761880051569;46.0955585886483;38.8155413969744
66;13.9753288046478;46.0949074736249;38.8154506944244
67;13.9744632519543;46.0942512119782;38.8153587523961
68;13.9735914871333;46.0935900200323;38.8152656374772
69;13.972713654193;46.0929240936095;38.8151713921042
70;13.9718328181092;46.0922560317213;38.8150763213032
71;13.9709492089725;46.0915862031762;38.8149805482434
72;13.9700630392339;46.0909149534869;38.8148841902751
73;13.9691745270982;46.0902426152212;38.8147873400458
74;13.9682838937385;46.0895695015715;38.8146900573362
75;13.9673913137639;46.088895869663;38.8145923871047
76;13.9664968903379;46.0882218584793;38.81449435035
77;13.9656006692743;46.087547553963;38.8143959776161
78;13.9647026922162;46.0868730500285;38.8142973075584
79;13.9638030060009;46.0861984486723;38.8141983847656
80;13.9629016825308;46.0855238468491;38.8140992329812
81;13.961998796371;46.0848493897861;38.8139999198311
82;13.9610944116676;46.0841751758961;38.81390046689
83;13.9601885397876;46.0835012239864;38.8138008724204
84;13.959281183885;46.0828275690107;38.8137011610731
85;13.9583723368579;46.0821542288498;38.8136013527291
86;13.9574619377606;46.0814811347107;38.8135014365033
87;13.9565498767504;46.0808081415864;38.8134013809412
88;13.9556360322493;46.080135024324;38.8133011018232
89;13.9547202709703;46.0794615318365;38.813200504461
90;13.953802455108;46.0787874131896;38.8130994942053
91;13.9528824375824;46.0781124234288;38.812997989031
92;13.9519600495188;46.0774362754993;38.8128958886857
93;13.9510351041412;46.0767586223894;38.8127930449145
94;13.9501073737236;46.0760791052671;38.8126893413136
95;13.9491765689596;46.075397393747;38.812584757274
96;13.9482424090127;46.0747131086879;38.8124792141472
97;13.9473046176036;46.0740258581168;38.8123726202381
98;13.9463628985348;46.0733352535433;38.8122649077608
99;13.9454169633109;46.0726408556125;38.8121559573316
100;13.9444665148854;46.0719421747685;38.8120456124891
101;13.9435112283628;46.0712387107929;38.8119337311822
102;13.9425507491828;46.0705299835283;38.8118202229946
103;13.9415847256494;46.0698155826095;38.8117050547506
104;13.9406128853011;46.0690952098011;38.8115882225268
105;13.9396350891197;46.0683687397442;38.8114697616916
106;13.9386512805267;46.0676361506691;38.8113497208968
107;13.9376614283465;46.0668974683218;38.811228161759
108;13.9366655333701;46.0661528071316;38.8111052005707
109;13.9356636497633;46.0654023171824;38.8109809302786
110;13.9346558294203;46.0646460507179;38.8108553499289
111;13.9336421116322;46.0638840300566;38.8107284438953
112;13.9326225405898;46.0631162759367;38.8106001900618
113;13.9315971772688;46.0623428213939;38.810470566387
114;13.9305660806962;46.0615637523779;38.8103396006432
115;13.9295296887609;46.0607795081361;38.8102073870004
116;13.9284884839855;46.0599905874987;38.8100740342131
117;13.9274429995387;46.0591975196541;38.8099396257264
118;13.9263937949402;46.0584008246394;38.8098042084256
119;13.925341379354;46.0576009446567;38.8096678110753
120;13.9242861652151;46.0567982410171;38.8095304807609
121;13.9232285494518;46.0559930662931;38.8093922713531
122;13.9221689917242;46.0551858476264;38.8092532506417
123;13.9211080003022;46.0543770331061;38.8091134537761
124;13.9200461171288;46.0535670755731;38.8089728887524
125;13.9189839233761;46.0527565207924;38.8088316169329
126;13.9179219997745;46.0519459927954;38.8086897686702
127;13.9168609259259;46.0511360854342;38.8085474478681
128;13.9158012729536;46.0503273716153;38.808404746343
129;13.9147436111111;46.0495204536259;38.8082617779334
130;13.9136881598195;46.0487156045752;38.8081185846561
131;13.9126351688453;46.0479130711173;38.8079751556178
132;13.9115848319328;46.0471130143168;38.8078314488018
133;13.9105372517896;46.0463155112045;38.8076874268596
134;13.9094924774354;46.0455205921257;38.8075430563337
135;13.9084504948646;46.0447281917211;38.8073982749767
136;13.9074111663554;46.0439380812325;38.8072529940865
137;13.9063742141301;46.0431498101463;38.8071070619359
138;13.905339248366;46.0423627902272;38.8069603127918
139;13.9043058208839;46.0415764052288;38.8068126112667
140;13.9032734858388;46.0407900599128;38.8066638406474
141;13.902241818394;46.0400031146903;38.8065138235294
142;13.9012103874883;46.0392149556489;38.8063624042951
143;13.9001787721755;46.038424982882;38.8062094327731
144;13.8991465686275;46.0376325723623;38.8060547253346
145;13.8981133473389;46.0368371381886;38.8058981582633
146;13.8970786780268;46.0360381543728;38.8057396607532
147;13.8960422230003;46.0352352264239;38.8055791970121
148;13.8950037371615;46.0344280734516;38.8054167538126
149;13.8939630003112;46.0336164635854;38.8052523420479
150;13.8929198148148;46.0328002131964;38.8050859951759
151;13.8918740686275;46.031979256925;38.8049177692188
152;13.8908257967632;46.0311537138189;38.8047477388733
153;13.8897751672891;46.0303239223467;38.8045760535325
154;13.8887224463119;46.0294903563648;38.804402892935
155;13.8876679793028;46.0286535037348;38.8042283667912
156;13.8866121537504;46.0278139200124;38.8040526081544
157;13.8855553851541;46.0269722237784;38.8038757897604
158;13.8844980843449;46.0261290522876;38.8036981053533
159;13.8834406574852;46.0252850497977;38.8035197556801
160;13.8823835364146;46.0244408629007;38.803340918145
161;13.8813271607532;46.0235971000622;38.8031617258014
162;13.8802719545596;46.0227543331777;38.8029822938064
163;13.8792183053221;46.0219131279178;38.8028027637722
164;13.8781666409897;46.0210740896359;38.8026232773109
165;13.8771174463119;46.0202378548086;38.8024439542484
166;13.8760712301587;46.0194050536881;38.8022648879552
167;13.8750284430439;46.0185762768441;38.8020861951447
168;13.8739894374416;46.0177519304388;38.8019079131653
169;13.872954484127;46.0169322945845;38.8017300443511
170;13.8719237698413;46.0161176517273;38.8015526797386
171;13.8708974369748;46.0153082026144;38.8013758776844
172;13.8698755672269;46.0145040662932;38.8011996802054
173;13.8688582236228;46.0137053314659;38.8010241129785
174;13.8678454738562;46.0129120798319;38.8008491876751
175;13.8668373879552;46.0121244351074;38.8006749509804
176;13.8658340056022;46.0113425373483;38.8005015009337
177;13.8648353688142;46.0105664962652;38.8003289028945
178;13.8638415592904;46.0097964098973;38.8001571661998
179;13.8628526213819;46.0090323576097;38.7999863071896
180;13.8618685550887;46.008274344071;38.7998163235294
181;13.8608893043884;46.0075223109244;38.7996472128852
182;13.8599148015873;46.0067761858077;38.7994789589169
183;13.8589449929972;46.0060359150327;38.7993115499533
184;13.8579798202614;46.005301442577;38.7991449859944
185;13.8570192320261;46.0045726937442;38.798979248366
186;13.8560632049486;46.0038496288515;38.7988143113912
187;13.855111713352;46.0031321895425;38.7986501283847
188;13.8541647128852;46.0024203034547;38.7984866643324
189;13.8532221428571;46.0017138608777;38.7983238748833
190;13.8522838958917;46.001012665733;38.7981616853408
191;13.8513498529412;46.000316477591;38.7979999836601
192;13.8504198739496;45.9996250676937;38.7978386904762
193;13.8494938188609;45.9989382002801;38.7976777264239
194;13.8485715569561;45.9982556232493;38.7975170004669
195;13.8476529575163;45.9975771125117;38.7973564379085
196;13.8467379038282;45.9969024821039;38.7971959796141
197;13.8458262815126;45.9962315219421;38.7970355485528
198;13.8449179831933;45.9955640071584;38.7968750474634
199;13.8440128711485;45.9948997136632;38.7967144016495
200;13.8431107796452;45.9942384103641;38.7965535527544
201;13.8422115172736;45.9935798218176;38.7963924377529
202;13.8413149066293;45.992923697479;38.7962310084034
203;13.8404207796452;45.9922697790227;38.7960691985683
204;13.8395289705882;45.9916178283536;38.7959069522253
205;13.8386393837535;45.99096767507;38.7957442063492
206;13.8377519934641;45.9903192724868;38.7955809516029
207;13.836866818394;45.9896726556178;38.7954172043262
208;13.8359838842204;45.9890279248366;38.7952530322129
209;13.8351032259571;45.9883852085278;38.7950885239651
210;13.8342248902895;45.9877446420791;38.7949237659508
211;13.833348968254;45.9871063655462;38.7947587986306
212;13.8324755742297;45.9864705812325;38.7945937037037
213;13.8316048241519;45.9858375373483;38.7944286064426
214;13.8307368821973;45.9852074603175;38.7942635558668
215;13.8298719304388;45.9845805835668;38.7940985869904
216;13.8290101299409;45.9839571545285;38.7939337651727
217;13.8281516441021;45.9833373957361;38.7937691293184
218;13.8272966339869;45.9827215328353;38.7936047268908
219;13.8264452209773;45.9821098319328;38.7934406769374
220;13.825597517118;45.9815025521319;38.7932771008403
221;13.824753636788;45.98089987784;38.793114047619
222;13.8239136896981;45.9803019421102;38.7929515266107
223;13.823077762216;45.9797088359788;38.7927895378151
224;13.8222458800187;45.9791205337691;38.792628015873
225;13.8214180010893;45.978536923436;38.792466879085
226;13.8205940624027;45.9779578734827;38.7923060597572
227;13.819774003268;45.9773832469654;38.7921454855275
228;13.8189577544351;45.9768128804855;38.7919850676937
229;13.8181452684407;45.9762466900093;38.7918247735761
230;13.8173365499533;45.9756847058823;38.7916646288515
231;13.8165316479925;45.9751270424837;38.7915046988796
232;13.8157306419234;45.9745738678805;38.7913450653595
